class, NCLOC, DCP, NOCom,WMC
./src/main/java/org/jfree/chart/annotations/AbstractAnnotation.java,68,65.66,4,36
./src/main/java/org/jfree/chart/annotations/AbstractXYAnnotation.java,77,58.6,6,25
./src/main/java/org/jfree/chart/annotations/Annotation.java,7,87.72,5,12
./src/main/java/org/jfree/chart/annotations/CategoryAnnotation.java,10,83.33,4,7
./src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java,198,49.23,12,38
./src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java,238,50.42,12,29
./src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java,123,50,8,17
./src/main/java/org/jfree/chart/annotations/TextAnnotation.java,137,56.37,11,27
./src/main/java/org/jfree/chart/annotations/XYAnnotation.java,11,82.81,4,8
./src/main/java/org/jfree/chart/annotations/XYAnnotationBoundsInfo.java,7,89.06,5,8
./src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java,176,48.54,10,37
./src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java,159,52.54,10,38
./src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java,143,47.04,12,31
./src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java,134,50.74,12,30
./src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java,180,45.62,13,45
./src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java,252,48.99,12,30
./src/main/java/org/jfree/chart/annotations/XYPolygonAnnotation.java,171,46.73,13,31
./src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java,152,44.12,11,35
./src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java,282,51.63,14,50
./src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java,212,40.95,15,38
./src/main/java/org/jfree/chart/api/HorizontalAlignment.java,6,87.5,2,6
./src/main/java/org/jfree/chart/api/Layer.java,5,86.49,2,7
./src/main/java/org/jfree/chart/api/LengthAdjustmentType.java,6,87.23,2,7
./src/main/java/org/jfree/chart/api/PublicCloneable.java,5,90.57,2,9
./src/main/java/org/jfree/chart/api/RectangleAlignment.java,80,37.5,2,7
./src/main/java/org/jfree/chart/api/RectangleAnchor.java,95,37.5,3,9
./src/main/java/org/jfree/chart/api/RectangleEdge.java,42,60.75,2,9
./src/main/java/org/jfree/chart/api/RectangleInsets.java,245,49.28,5,41
./src/main/java/org/jfree/chart/api/Rotation.java,12,82.09,2,9
./src/main/java/org/jfree/chart/api/SortOrder.java,5,88.64,2,6
./src/main/java/org/jfree/chart/api/TableOrder.java,5,88.64,2,7
./src/main/java/org/jfree/chart/api/UnitType.java,5,88.64,2,6
./src/main/java/org/jfree/chart/api/VerticalAlignment.java,6,87.5,2,6
./src/main/java/org/jfree/chart/api/XYCoordinateType.java,6,88.68,3,7
./src/main/java/org/jfree/chart/axis/Axis.java,789,48.63,15,181
./src/main/java/org/jfree/chart/axis/AxisCollection.java,49,61.42,8,10
./src/main/java/org/jfree/chart/axis/AxisLabelLocation.java,6,87.23,5,6
./src/main/java/org/jfree/chart/axis/AxisLocation.java,26,67.9,9,6
./src/main/java/org/jfree/chart/axis/AxisSpace.java,189,44.74,7,45
./src/main/java/org/jfree/chart/axis/AxisState.java,66,62.29,7,16
./src/main/java/org/jfree/chart/axis/CategoryAnchor.java,6,87.5,6,6
./src/main/java/org/jfree/chart/axis/CategoryAxis.java,726,43.98,16,149
./src/main/java/org/jfree/chart/axis/CategoryLabelPosition.java,99,56.77,8,18
./src/main/java/org/jfree/chart/axis/CategoryLabelPositions.java,217,40.71,8,27
./src/main/java/org/jfree/chart/axis/CategoryLabelWidthType.java,5,88.89,7,7
./src/main/java/org/jfree/chart/axis/CategoryTick.java,55,58.33,6,14
./src/main/java/org/jfree/chart/axis/CompassFormat.java,48,65.71,5,27
./src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java,653,37.69,11,107
./src/main/java/org/jfree/chart/axis/DateAxis.java,1063,36.35,17,207
./src/main/java/org/jfree/chart/axis/DateTick.java,42,65,8,11
./src/main/java/org/jfree/chart/axis/DateTickMarkPosition.java,6,88.68,5,6
